id,label,timeset,weight,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,eigencentrality
469,0520,"<[66.0, Infinity]>",1,43,7,50,43.0,7.0,50.0,5.0,0.2134064386747168,0.21799626778634743,146187.0,4.081632650922984E-4,0.1800398806066681
471,4254,"<[67.0, Infinity]>",1,49,7,56,49.0,7.0,56.0,5.0,0.2134246516887495,0.2180195941217801,149120.0,3.246753185521811E-4,0.14884933212772442
477,0510,"<[68.0, Infinity]>",1,49,7,56,49.0,7.0,56.0,5.0,0.2134155447931557,0.21800959712088025,173131.0,3.246753185521811E-4,0.18615694216168202
480,6510,"<[68.0, Infinity]>",1,43,7,50,43.0,7.0,50.0,5.0,0.21343375936159772,0.21803292345631298,177209.0,0.0,0.19084373462821533
483,1510,"<[68.0, Infinity]>",1,43,7,50,43.0,7.0,50.0,5.0,0.21343375936159772,0.21803292345631298,159897.0,0.0,0.18011678642740822
495,3714,"<[70.0, Infinity]>",1,1,7,8,1.0,7.0,8.0,5.0,0.21343375936159772,0.21803292345631314,70755.0,0.0,0.08947071178855824
496,4714,"<[70.0, Infinity]>",1,25,7,32,25.0,7.0,32.0,5.0,0.2134155447931557,0.21800959712088042,146560.0,0.0010080644860863686,0.16886563001574448
498,3040,"<[71.0, Infinity]>",1,13,7,20,13.0,7.0,20.0,5.0,0.21331542021197195,0.21789296544371678,96397.0,0.0,0.1001161011804402
513,7460,"<[73.0, Infinity]>",1,19,7,26,19.0,7.0,26.0,5.0,0.2134064386747168,0.21800293245361377,131610.0,0.0,0.16341675602078767
514,3460,"<[73.0, Infinity]>",1,25,7,32,25.0,7.0,32.0,5.0,0.2134064386747168,0.21800293245361377,99185.0,0.0,0.11393895800861349
515,6460,"<[73.0, Infinity]>",1,31,7,38,31.0,7.0,38.0,5.0,0.2134064386747168,0.21800293245361377,158834.0,0.0,0.19449694869964307
516,0460,"<[73.0, Infinity]>",1,19,7,26,19.0,7.0,26.0,5.0,0.21338822876890587,0.21797960611818107,98884.0,0.0015384615398943424,0.12061949258741053
517,5460,"<[73.0, Infinity]>",1,25,7,32,25.0,7.0,32.0,5.0,0.2134064386747168,0.21800293245361377,144065.0,0.0,0.17483719763002228
518,1460,"<[73.0, Infinity]>",1,37,7,44,37.0,7.0,44.0,5.0,0.2134064386747168,0.21800293245361377,155622.0,0.0,0.17876592602683056
523,761,"<[74.0, Infinity]>",1,43,7,50,43.0,7.0,50.0,5.0,0.2134064386747168,0.2179996001199803,548945.0,4.081632650922984E-4,0.9237599197976604
534,7415,"<[76.0, Infinity]>",1,37,7,44,37.0,7.0,44.0,5.0,0.2134246516887495,0.21802292645541307,173929.0,0.0,0.18176794068582908
535,1415,"<[76.0, Infinity]>",1,31,7,38,31.0,7.0,38.0,5.0,0.2134246516887495,0.21802292645541307,157201.0,0.0,0.1726488644718162
538,0415,"<[76.0, Infinity]>",1,31,7,38,31.0,7.0,38.0,5.0,0.2134246516887495,0.21802292645541307,130615.0,0.0,0.13285361569743814
539,5415,"<[76.0, Infinity]>",1,31,7,38,31.0,7.0,38.0,5.0,0.21340188590689935,0.21799460161953055,166835.0,7.11237546056509E-4,0.18095425918503574
541,3154,"<[77.0, Infinity]>",1,31,7,38,31.0,7.0,38.0,5.0,0.21343831348952333,0.2180379219567629,133491.0,0.0,0.1534194276446846
544,0154,"<[77.0, Infinity]>",1,31,7,38,31.0,7.0,38.0,5.0,0.21343831348952333,0.2180379219567629,109253.0,0.0,0.12173247967041922
547,6765,"<[78.0, Infinity]>",1,7,7,14,7.0,7.0,14.0,5.0,0.21343375936159772,0.2180329234563127,150481.0,0.0,0.165262501325151
548,0765,"<[78.0, Infinity]>",1,7,7,14,7.0,7.0,14.0,5.0,0.21343375936159772,0.2180329234563127,102057.0,0.0,0.10361916832294603
550,3765,"<[78.0, Infinity]>",1,1,7,8,1.0,7.0,8.0,5.0,0.21343375936159772,0.2180329234563127,86991.0,0.0,0.08947071178855824
